"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748960084403003E9,"2025-06-03 16:14:44.403 UTC+02:00"
"PAUSE",1.995479570833413E1,1.748960104358275E9,"2025-06-03 16:15:04.358 UTC+02:00"
"START",1.995479570833413E1,1.748960137508815E9,"2025-06-03 16:15:37.509 UTC+02:00"
"PAUSE",3.948847224999918E1,1.748960157043037E9,"2025-06-03 16:15:57.043 UTC+02:00"
"START",3.948847224999918E1,1.748960199051931E9,"2025-06-03 16:16:39.052 UTC+02:00"
"PAUSE",5.852343029166514E1,1.748960218087335E9,"2025-06-03 16:16:58.087 UTC+02:00"
"START",5.852343029166514E1,1.748960257164570E9,"2025-06-03 16:17:37.165 UTC+02:00"
"PAUSE",7.563674895833537E1,1.748960274278203E9,"2025-06-03 16:17:54.278 UTC+02:00"
"START",7.563674895833537E1,1.748960317596254E9,"2025-06-03 16:18:37.596 UTC+02:00"
"PAUSE",9.378894337500242E1,1.748960335748713E9,"2025-06-03 16:18:55.749 UTC+02:00"
"START",9.378894337500242E1,1.748960368689272E9,"2025-06-03 16:19:28.689 UTC+02:00"
"PAUSE",1.111738214166689E2,1.748960386074464E9,"2025-06-03 16:19:46.074 UTC+02:00"
"START",1.111738214166689E2,1.748960435809350E9,"2025-06-03 16:20:35.809 UTC+02:00"
"PAUSE",1.273346493333302E2,1.748960451970276E9,"2025-06-03 16:20:51.970 UTC+02:00"
"START",1.273346493333302E2,1.748960493800824E9,"2025-06-03 16:21:33.801 UTC+02:00"
"PAUSE",1.466064014583244E2,1.748960513072816E9,"2025-06-03 16:21:53.073 UTC+02:00"
"START",1.466064014583244E2,1.748960560812708E9,"2025-06-03 16:22:40.813 UTC+02:00"
"PAUSE",1.625987841666574E2,1.748960576805127E9,"2025-06-03 16:22:56.805 UTC+02:00"
